2025-05-29 12:13:27 | INFO     | app.dao.base_dao:create:18 - Created FileUpload with ID: N/A
2025-05-29 12:13:27 | ERROR    | app.routes.upload_routes:upload_file:70 - Error uploading file: name 'genai' is not defined
2025-05-29 12:13:27 | ERROR    | app.database.connection:get_db:24 - Database session error: 
2025-05-29 12:16:13 | INFO     | main:lifespan:27 - Shutting down Invoice Processor API
2025-05-29 12:17:51 | INFO     | main:lifespan:15 - Starting Invoice Processor API
2025-05-29 12:17:51 | INFO     | main:lifespan:20 - Database tables created successfully
2025-05-29 12:17:56 | INFO     | app.utils.file_utils:save_file:21 - Saved file: data.csv
2025-05-29 12:17:57 | INFO     | app.dao.base_dao:create:18 - Created FileUpload with ID: N/A
2025-05-29 12:17:57 | INFO     | app.dao.file_upload_dao:update_processing_status:30 - Updated file upload 5 status to processing
2025-05-29 12:17:57 | INFO     | app.dao.base_dao:create:18 - Created ProcessingLog with ID: N/A
2025-05-29 12:17:57 | INFO     | app.utils.file_utils:extract_data_from_csv:61 - Extracted data from CSV: uploads\data.csv (3 rows)
2025-05-29 12:22:45 | INFO     | main:lifespan:27 - Shutting down Invoice Processor API
2025-05-29 12:22:51 | INFO     | main:lifespan:15 - Starting Invoice Processor API
2025-05-29 12:22:51 | INFO     | main:lifespan:20 - Database tables created successfully
2025-05-29 12:27:45 | INFO     | main:lifespan:27 - Shutting down Invoice Processor API
2025-05-29 12:27:50 | INFO     | main:lifespan:15 - Starting Invoice Processor API
2025-05-29 12:27:51 | INFO     | main:lifespan:20 - Database tables created successfully
2025-05-29 12:36:09 | INFO     | main:lifespan:27 - Shutting down Invoice Processor API
2025-05-29 12:36:15 | INFO     | main:lifespan:15 - Starting Invoice Processor API
2025-05-29 12:36:15 | INFO     | main:lifespan:20 - Database tables created successfully
2025-05-29 12:36:22 | INFO     | app.utils.file_utils:save_file:21 - Saved file: data.csv
2025-05-29 12:36:22 | INFO     | app.dao.base_dao:create:18 - Created FileUpload with ID: N/A
2025-05-29 12:36:22 | INFO     | app.dao.file_upload_dao:update_processing_status:30 - Updated file upload 6 status to processing
2025-05-29 12:36:22 | INFO     | app.dao.base_dao:create:18 - Created ProcessingLog with ID: N/A
2025-05-29 12:36:22 | INFO     | app.utils.file_utils:extract_data_from_csv:61 - Extracted data from CSV: uploads\data.csv (3 rows)
2025-05-29 12:36:22 | ERROR    | app.database.connection:get_db_session:38 - Database transaction error: LLMMappingBAO._build_mapping_prompt() missing 2 required positional arguments: 'extracted_columns' and 'file_context'
2025-05-29 12:36:22 | ERROR    | app.bao.file_processing_bao:process_uploaded_file:87 - Error processing file 6: LLMMappingBAO._build_mapping_prompt() missing 2 required positional arguments: 'extracted_columns' and 'file_context'
2025-05-29 12:36:22 | INFO     | app.dao.file_upload_dao:update_processing_status:30 - Updated file upload 6 status to failed
2025-05-29 12:36:22 | INFO     | app.dao.base_dao:create:18 - Created ProcessingLog with ID: N/A
2025-05-29 12:36:22 | ERROR    | app.routes.upload_routes:upload_file:69 - Error uploading file: LLMMappingBAO._build_mapping_prompt() missing 2 required positional arguments: 'extracted_columns' and 'file_context'
2025-05-29 12:36:22 | ERROR    | app.database.connection:get_db:24 - Database session error: 
2025-05-29 12:36:54 | INFO     | main:lifespan:27 - Shutting down Invoice Processor API
2025-05-29 12:36:59 | INFO     | main:lifespan:15 - Starting Invoice Processor API
2025-05-29 12:36:59 | INFO     | main:lifespan:20 - Database tables created successfully
2025-05-29 12:37:07 | INFO     | app.utils.file_utils:save_file:21 - Saved file: data.csv
2025-05-29 12:37:07 | INFO     | app.dao.base_dao:create:18 - Created FileUpload with ID: N/A
2025-05-29 12:37:07 | INFO     | app.dao.file_upload_dao:update_processing_status:30 - Updated file upload 7 status to processing
2025-05-29 12:37:07 | INFO     | app.dao.base_dao:create:18 - Created ProcessingLog with ID: N/A
2025-05-29 12:37:07 | INFO     | app.utils.file_utils:extract_data_from_csv:61 - Extracted data from CSV: uploads\data.csv (3 rows)
2025-05-29 12:41:55 | INFO     | main:lifespan:27 - Shutting down Invoice Processor API
2025-05-29 12:42:00 | INFO     | main:lifespan:15 - Starting Invoice Processor API
2025-05-29 12:42:00 | INFO     | main:lifespan:20 - Database tables created successfully
2025-05-29 12:43:41 | INFO     | main:lifespan:27 - Shutting down Invoice Processor API
2025-05-29 13:02:22 | INFO     | main:lifespan:15 - Starting Invoice Processor API
2025-05-29 13:02:22 | INFO     | main:lifespan:20 - Database tables created successfully
